booking_id,booking_date,journey_date,seat_count,advance_booking_days,seat_type,boarding_station,dropping_station,journey_day_of_week,booking_hour,has_meal,meal_count,seat_amount,meal_amount,total_amount,season,confirmation_probability
BK00020,19-04-2025,22-04-2025,1,3,lower,Ahmedabad,Mumbai,3,21,0,0,800,0,800,festival,82.39938193
BK00021,25-12-2025,26-12-2025,2,1,lower,Surat,Vadodara,2,5,1,1,1600,150,1750,normal,96.96582791
BK00022,21-02-2025,21-02-2025,1,0,lower,Ahmedabad,Mumbai,0,0,1,1,800,100,900,normal,88.85373805
BK00023,22-01-2024,15-02-2024,1,24,lower,Ahmedabad,Mumbai,3,20,1,1,800,100,900,holiday,98
BK00024,03-06-2025,03-06-2025,2,0,upper,Nadiad,Mumbai,4,18,1,2,1400,300,1700,normal,92.81694846
BK00025,15-06-2025,28-06-2025,2,13,upper,Vadodara,Surat,1,11,1,2,1400,200,1600,normal,98
BK00026,03-07-2025,04-07-2025,3,1,lower,Ahmedabad,Mumbai,3,18,0,0,2400,0,2400,normal,87.69970935
BK00027,27-01-2025,20-02-2025,1,24,lower,Ahmedabad,Surat,2,11,0,0,800,0,800,normal,97.29941218
BK00028,20-10-2025,11-11-2025,2,22,lower,Vadodara,Surat,3,5,1,1,1600,100,1700,normal,95.1108934
BK00029,15-03-2024,25-03-2024,2,10,lower,Ahmedabad,Mumbai,5,11,1,1,1600,100,1700,holiday,92.54069778
BK00030,11-01-2025,22-01-2025,1,11,lower,Ahmedabad,Mumbai,4,11,0,0,800,0,800,normal,89.1296222
BK00031,08-07-2024,08-07-2024,2,0,upper,Nadiad,Mumbai,5,0,0,0,1400,0,1400,normal,79.08084579
BK00032,27-04-2024,27-05-2024,1,30,lower,Ahmedabad,Mumbai,3,1,1,1,800,100,900,festival,97.72648696
BK00033,13-12-2024,03-01-2025,1,21,upper,Surat,Vadodara,4,21,1,1,700,100,800,normal,98
BK00034,16-09-2025,08-10-2025,4,22,lower,Nadiad,Mumbai,4,10,0,0,3200,0,3200,normal,95.28582481
BK00035,12-06-2024,22-06-2024,5,10,lower,Surat,Mumbai,3,8,0,0,4000,0,4000,normal,85.79492168
BK00036,16-06-2025,20-06-2025,3,4,mixed,Ahmedabad,Mumbai,1,21,0,0,2250,0,2250,normal,89.02963511
BK00037,05-08-2025,27-08-2025,2,22,upper,Surat,Mumbai,6,3,0,0,1400,0,1400,normal,96.28675791
BK00038,15-08-2024,18-08-2024,1,3,lower,Ahmedabad,Mumbai,1,5,1,1,800,100,900,festival,93.88200718
BK00039,22-07-2025,30-07-2025,3,8,mixed,Ahmedabad,Mumbai,2,20,0,0,2250,0,2250,normal,87.86793679
BK00040,25-03-2024,26-03-2024,2,1,lower,Ahmedabad,Mumbai,5,8,1,1,1600,150,1750,festival,77.4770991
BK00041,20-08-2024,14-09-2024,1,25,lower,Ahmedabad,Mumbai,3,14,1,1,800,200,1000,normal,95.91902519
BK00042,17-03-2024,18-03-2024,2,1,upper,Ahmedabad,Mumbai,5,17,1,1,1400,150,1550,holiday,80.3579062
BK00043,24-08-2025,26-08-2025,1,2,upper,Ahmedabad,Mumbai,5,5,1,1,700,200,900,normal,88.57849316
BK00044,21-08-2025,29-08-2025,4,8,lower,Ahmedabad,Surat,3,8,1,4,3200,600,3800,festival,87.34886872
BK00045,20-05-2024,03-06-2024,1,14,lower,Ahmedabad,Vadodara,0,11,1,1,800,200,1000,festival,98
BK00046,12-06-2024,21-06-2024,3,9,mixed,Nadiad,Mumbai,1,17,0,0,2250,0,2250,normal,93.11789024
BK00047,18-08-2025,20-08-2025,2,2,lower,Ahmedabad,Surat,4,14,0,0,1600,0,1600,normal,83.36107148
BK00048,13-04-2025,13-04-2025,2,0,lower,Vadodara,Mumbai,0,1,1,2,1600,200,1800,normal,91.98609921
BK00049,06-08-2025,20-08-2025,2,14,upper,Ahmedabad,Mumbai,3,8,0,0,1400,0,1400,normal,97.05957274
BK00050,11-09-2024,11-10-2024,1,30,mixed,Surat,Mumbai,0,8,1,1,750,200,950,normal,96.13391386
BK00051,21-06-2025,07-07-2025,5,16,lower,Ahmedabad,Mumbai,1,18,1,5,4000,750,4750,holiday,81.33054019
BK00052,03-07-2025,09-07-2025,3,6,upper,Surat,Vadodara,3,8,0,0,2100,0,2100,normal,82.79588135
BK00053,25-08-2025,17-09-2025,4,23,upper,Ahmedabad,Mumbai,5,21,1,1,2800,200,3000,normal,97.16215442
BK00054,30-06-2024,05-07-2024,4,5,lower,Surat,Vadodara,5,8,1,2,3200,400,3600,holiday,78.78558094
BK00055,21-08-2025,28-08-2025,2,7,upper,Ahmedabad,Mumbai,1,4,1,1,1400,100,1500,normal,97.51669104
BK00056,23-04-2025,29-04-2025,4,6,mixed,Nadiad,Mumbai,0,13,0,0,3000,0,3000,normal,75.97148351
BK00057,01-02-2025,06-02-2025,1,5,lower,Vadodara,Mumbai,2,10,0,0,800,0,800,normal,94.71051085
BK00058,04-02-2025,18-02-2025,1,14,lower,Ahmedabad,Vadodara,6,15,0,0,800,0,800,festival,94.2706603
BK00059,31-08-2024,07-09-2024,1,7,mixed,Ahmedabad,Mumbai,4,21,0,0,750,0,750,normal,97.41303709
BK00060,02-03-2024,05-03-2024,2,3,upper,Vadodara,Surat,4,21,1,2,1400,200,1600,normal,93.35676993
BK00061,12-12-2025,14-12-2025,2,2,lower,Ahmedabad,Mumbai,6,5,1,1,1600,150,1750,normal,92.07934481
BK00062,08-07-2024,08-07-2024,1,0,upper,Ahmedabad,Mumbai,6,3,0,0,700,0,700,normal,83.4135388
BK00063,03-12-2025,11-12-2025,3,8,upper,Nadiad,Nadiad,2,21,0,0,2100,0,2100,normal,89.95564493
BK00064,17-05-2024,19-05-2024,2,2,upper,Ahmedabad,Mumbai,2,19,1,2,1400,200,1600,normal,94.32174674
BK00065,22-05-2024,23-05-2024,1,1,mixed,Vadodara,Mumbai,2,8,0,0,750,0,750,normal,85.99770992
BK00066,28-11-2025,08-12-2025,2,10,lower,Ahmedabad,Mumbai,1,18,0,0,1600,0,1600,normal,98
BK00067,10-02-2025,21-02-2025,1,11,lower,Ahmedabad,Mumbai,3,17,0,0,800,0,800,normal,98
BK00068,30-05-2024,12-06-2024,3,13,upper,Ahmedabad,Mumbai,2,8,0,0,2100,0,2100,normal,94.88634131
BK00069,31-07-2024,07-08-2024,1,7,lower,Nadiad,Mumbai,1,21,1,1,800,200,1000,normal,96.2259789
BK00070,20-07-2024,11-08-2024,6,22,upper,Surat,Mumbai,5,8,0,0,4200,0,4200,normal,76.51016344
BK00071,18-06-2024,15-07-2024,3,27,lower,Ahmedabad,Mumbai,0,11,1,1,2400,150,2550,normal,96.24914729
BK00072,21-05-2025,06-06-2025,1,16,lower,Ahmedabad,Mumbai,0,14,1,1,800,200,1000,normal,97.64904802
BK00073,30-10-2025,09-11-2025,1,10,upper,Ahmedabad,Mumbai,2,4,1,1,700,100,800,normal,98
BK00074,24-05-2024,27-05-2024,3,3,upper,Vadodara,Mumbai,0,14,0,0,2100,0,2100,holiday,86.46091035
BK00075,23-01-2024,22-02-2024,3,30,upper,Ahmedabad,Mumbai,2,16,0,0,2100,0,2100,normal,98
BK00076,03-03-2025,06-03-2025,3,3,upper,Ahmedabad,Mumbai,0,1,1,1,2100,150,2250,holiday,92.01523782
BK00077,31-07-2025,02-08-2025,3,2,lower,Ahmedabad,Mumbai,0,9,0,0,2400,0,2400,normal,75.84031847
BK00078,29-09-2024,04-10-2024,1,5,lower,Ahmedabad,Mumbai,3,14,1,1,800,100,900,normal,96.03805043
BK00079,07-04-2024,07-04-2024,2,0,upper,Ahmedabad,Vadodara,6,21,1,1,1400,150,1550,holiday,84.32673496
BK00080,21-06-2025,21-07-2025,1,30,lower,Ahmedabad,Mumbai,3,21,0,0,800,0,800,festival,98
BK00081,17-03-2025,25-03-2025,4,8,upper,Vadodara,Mumbai,0,4,1,2,2800,400,3200,normal,91.78643706
BK00082,05-08-2025,13-08-2025,2,8,upper,Surat,Mumbai,3,14,0,0,1400,0,1400,festival,84.54342104
BK00083,06-05-2024,16-05-2024,2,10,lower,Vadodara,Mumbai,2,1,0,0,1600,0,1600,normal,92.4093289
BK00084,13-12-2025,19-12-2025,1,6,upper,Ahmedabad,Mumbai,4,8,1,1,700,200,900,festival,88.76947376
BK00085,29-12-2025,29-12-2025,2,0,lower,Ahmedabad,Mumbai,2,14,1,2,1600,400,2000,normal,85.06312161
BK00086,06-07-2025,15-07-2025,2,9,upper,Ahmedabad,Mumbai,3,1,1,2,1400,200,1600,holiday,96.58953118
BK00087,08-01-2024,20-01-2024,3,12,lower,Nadiad,Mumbai,1,21,0,0,2400,0,2400,normal,84.19903908
BK00088,19-09-2024,24-09-2024,2,5,lower,Ahmedabad,Nadiad,6,20,0,0,1600,0,1600,normal,94.86387011
BK00089,05-06-2025,19-06-2025,4,14,upper,Surat,Mumbai,0,11,0,0,2800,0,2800,festival,85.91186673
BK00090,03-06-2024,05-06-2024,2,2,upper,Ahmedabad,Mumbai,3,11,0,0,1400,0,1400,holiday,85.02012647
BK00091,01-09-2024,03-09-2024,1,2,upper,Vadodara,Mumbai,5,21,1,1,700,200,900,festival,84.16080217
BK00092,17-02-2025,18-02-2025,3,1,upper,Nadiad,Mumbai,5,1,1,2,2100,300,2400,normal,89.64967664
BK00093,11-08-2024,15-08-2024,3,4,upper,Ahmedabad,Surat,6,2,1,2,2100,400,2500,holiday,78.75485479
BK00094,16-12-2024,03-01-2025,2,18,lower,Nadiad,Mumbai,6,8,0,0,1600,0,1600,normal,89.40107652
BK00095,04-04-2025,21-04-2025,3,17,upper,Surat,Vadodara,3,9,1,3,2100,600,2700,festival,96.5920874
BK00096,17-10-2024,21-10-2024,2,4,upper,Surat,Mumbai,3,22,0,0,1400,0,1400,normal,91.52096661
BK00097,03-11-2024,11-11-2024,2,8,lower,Nadiad,Mumbai,5,2,1,2,1600,300,1900,festival,89.09000173
BK00098,05-02-2025,17-02-2025,2,12,upper,Ahmedabad,Nadiad,6,8,1,1,1400,200,1600,holiday,95.41377597
BK00099,27-12-2025,29-12-2025,1,2,mixed,Vadodara,Mumbai,2,20,1,1,750,150,900,normal,88.71596345
BK00100,06-07-2024,07-07-2024,1,1,lower,Nadiad,Mumbai,6,17,0,0,800,0,800,festival,79.1552712
BK00101,23-06-2025,23-07-2025,1,30,mixed,Ahmedabad,Mumbai,0,15,1,1,750,150,900,normal,98
BK00102,12-08-2025,21-08-2025,2,9,lower,Ahmedabad,Mumbai,4,8,1,2,1600,400,2000,normal,95.71556181
BK00103,02-01-2025,01-02-2025,2,30,lower,Ahmedabad,Mumbai,5,1,1,2,1600,400,2000,normal,94.30795023
BK00104,18-07-2024,22-07-2024,2,4,lower,Ahmedabad,Mumbai,5,22,1,2,1600,400,2000,holiday,95.58517508
BK00105,06-10-2025,18-10-2025,4,12,upper,Vadodara,Mumbai,5,8,1,4,2800,400,3200,normal,84.26583731
BK00106,19-03-2025,21-03-2025,1,2,lower,Ahmedabad,Mumbai,6,20,1,1,800,200,1000,normal,93.5070666
BK00107,25-11-2025,28-11-2025,2,3,mixed,Ahmedabad,Mumbai,6,21,0,0,1500,0,1500,holiday,84.49733658
BK00108,27-12-2025,03-01-2026,3,7,mixed,Ahmedabad,Surat,3,11,1,1,2250,150,2400,normal,85.55031789
BK00109,06-07-2024,09-07-2024,1,3,upper,Ahmedabad,Mumbai,6,20,1,1,700,100,800,normal,89.10415529
BK00110,25-05-2024,26-05-2024,1,1,upper,Ahmedabad,Mumbai,1,8,0,0,700,0,700,holiday,85.66660923
BK00111,17-10-2024,20-10-2024,1,3,mixed,Ahmedabad,Mumbai,5,21,0,0,750,0,750,normal,93.89745797
BK00112,27-03-2025,27-03-2025,1,0,mixed,Ahmedabad,Vadodara,0,14,1,1,750,100,850,normal,95.62585551
BK00113,02-04-2024,14-04-2024,4,12,upper,Nadiad,Surat,6,4,0,0,2800,0,2800,holiday,79.96645172
BK00114,20-03-2024,26-03-2024,3,6,upper,Ahmedabad,Mumbai,6,17,1,2,2100,200,2300,normal,92.77221159
BK00115,27-12-2025,27-12-2025,2,0,upper,Ahmedabad,Surat,4,21,1,1,1400,200,1600,normal,95.78882241
BK00116,09-12-2025,10-12-2025,4,1,upper,Ahmedabad,Mumbai,5,14,0,0,2800,0,2800,normal,74.03182872
BK00117,05-06-2024,06-06-2024,3,1,lower,Ahmedabad,Mumbai,1,17,0,0,2400,0,2400,festival,82.99053044
BK00118,05-12-2025,14-12-2025,1,9,upper,Ahmedabad,Mumbai,5,17,0,0,700,0,700,normal,98
BK00119,23-04-2025,23-04-2025,4,0,lower,Ahmedabad,Nadiad,6,17,1,1,3200,100,3300,festival,71.29568878
BK00120,18-12-2024,01-01-2025,2,14,lower,Ahmedabad,Mumbai,4,11,1,2,1600,200,1800,normal,98
BK00121,28-02-2025,28-02-2025,3,0,upper,Ahmedabad,Mumbai,4,17,1,3,2100,300,2400,festival,87.07190485
BK00122,05-04-2024,07-04-2024,4,2,mixed,Ahmedabad,Vadodara,5,13,0,0,3000,0,3000,festival,80.7249197
BK00123,07-09-2025,29-09-2025,2,22,mixed,Nadiad,Mumbai,6,11,0,0,1500,0,1500,normal,96.71829616
BK00124,30-09-2024,12-10-2024,1,12,upper,Ahmedabad,Mumbai,0,3,0,0,700,0,700,holiday,94.30319276
BK00125,20-09-2024,20-09-2024,1,0,upper,Vadodara,Mumbai,2,21,0,0,700,0,700,normal,87.37840258
BK00126,23-05-2025,09-06-2025,2,17,lower,Vadodara,Surat,1,11,0,0,1600,0,1600,normal,97.54986148
BK00127,25-01-2024,31-01-2024,3,6,upper,Vadodara,Vadodara,5,7,0,0,2100,0,2100,normal,78.20229518
BK00128,27-02-2025,17-03-2025,4,18,lower,Ahmedabad,Mumbai,3,7,0,0,3200,0,3200,festival,79.00911222
BK00129,21-04-2024,30-04-2024,1,9,lower,Vadodara,Mumbai,4,7,0,0,800,0,800,normal,86.72874626
BK00130,23-10-2025,03-11-2025,2,11,upper,Ahmedabad,Mumbai,1,0,1,2,1400,400,1800,normal,91.44423215
BK00131,30-03-2025,29-04-2025,2,30,lower,Ahmedabad,Surat,0,11,1,1,1600,200,1800,normal,92.23793418
BK00132,24-04-2025,26-04-2025,1,2,lower,Ahmedabad,Mumbai,1,21,1,1,800,100,900,festival,85.53171042
BK00133,15-11-2024,24-11-2024,1,9,mixed,Surat,Mumbai,3,0,0,0,750,0,750,normal,94.41631301
BK00134,09-07-2024,15-07-2024,2,6,lower,Ahmedabad,Mumbai,3,22,1,1,1600,200,1800,normal,91.5373097
BK00135,30-01-2024,30-01-2024,4,0,lower,Surat,Mumbai,0,4,0,0,3200,0,3200,festival,77.58858635
BK00136,08-12-2025,08-12-2025,2,0,lower,Ahmedabad,Mumbai,1,16,1,1,1600,200,1800,holiday,89.34386461
BK00137,18-10-2024,19-10-2024,2,1,lower,Surat,Surat,5,17,1,1,1600,150,1750,normal,84.58415666
BK00138,28-02-2024,09-03-2024,3,10,lower,Surat,Mumbai,2,17,1,1,2400,150,2550,normal,96.78679389
BK00139,08-10-2024,16-10-2024,2,8,upper,Surat,Nadiad,2,8,1,1,1400,100,1500,normal,98
BK00140,26-02-2024,05-03-2024,5,8,lower,Ahmedabad,Mumbai,5,16,1,4,4000,600,4600,normal,83.75767767
BK00141,12-08-2025,12-08-2025,5,0,mixed,Vadodara,Mumbai,4,11,1,3,3750,600,4350,normal,85.23507373
BK00142,22-05-2024,28-05-2024,1,6,lower,Surat,Mumbai,5,2,1,1,800,200,1000,festival,84.84220848
BK00143,04-02-2024,29-02-2024,2,25,upper,Ahmedabad,Mumbai,6,5,1,1,1400,150,1550,normal,97.76591429
BK00144,22-07-2024,27-07-2024,2,5,upper,Ahmedabad,Vadodara,4,0,0,0,1400,0,1400,normal,85.65783391
BK00145,11-05-2024,20-05-2024,1,9,upper,Nadiad,Surat,1,8,0,0,700,0,700,holiday,84.95311836
BK00146,16-03-2024,31-03-2024,1,15,upper,Ahmedabad,Mumbai,5,17,1,1,700,100,800,normal,95.73466095
BK00147,14-10-2024,29-10-2024,2,15,mixed,Vadodara,Mumbai,6,22,0,0,1500,0,1500,normal,88.72961189
BK00148,18-01-2025,25-01-2025,2,7,lower,Ahmedabad,Mumbai,4,2,0,0,1600,0,1600,normal,81.60187524
BK00149,23-10-2024,11-11-2024,1,19,upper,Ahmedabad,Mumbai,3,8,1,1,700,100,800,normal,98
BK00150,06-04-2024,10-04-2024,1,4,mixed,Ahmedabad,Mumbai,0,4,1,1,750,100,850,festival,83.57559054
BK00151,05-06-2025,26-06-2025,4,21,lower,Ahmedabad,Surat,4,17,0,0,3200,0,3200,normal,97.30479814
BK00152,12-02-2024,14-02-2024,1,2,lower,Ahmedabad,Nadiad,5,21,1,1,800,100,900,festival,88.0898956
BK00153,25-10-2024,28-10-2024,1,3,lower,Vadodara,Surat,2,1,0,0,800,0,800,normal,83.63268774
BK00154,04-02-2025,04-02-2025,2,0,upper,Ahmedabad,Mumbai,5,21,0,0,1400,0,1400,normal,92.6595816
BK00155,01-03-2025,16-03-2025,6,15,lower,Vadodara,Mumbai,3,8,1,4,4800,400,5200,normal,92.02527237
BK00156,14-05-2025,19-05-2025,1,5,lower,Vadodara,Mumbai,6,5,0,0,800,0,800,holiday,80.88618627
BK00157,04-03-2025,06-03-2025,3,2,upper,Ahmedabad,Mumbai,2,1,1,1,2100,200,2300,holiday,78.52749762
BK00158,14-07-2025,16-07-2025,3,2,upper,Ahmedabad,Mumbai,4,1,1,3,2100,450,2550,normal,90.14719221
BK00159,18-02-2025,13-03-2025,1,23,lower,Ahmedabad,Mumbai,5,1,1,1,800,100,900,normal,98
BK00160,13-08-2025,30-08-2025,3,17,lower,Ahmedabad,Mumbai,4,11,0,0,2400,0,2400,normal,88.06869372
BK00161,01-10-2025,09-10-2025,2,8,upper,Ahmedabad,Mumbai,6,15,1,2,1400,200,1600,normal,87.20220839
BK00162,11-01-2024,20-01-2024,2,9,mixed,Ahmedabad,Mumbai,3,4,1,1,1500,100,1600,normal,98
BK00163,26-11-2024,02-12-2024,2,6,upper,Surat,Mumbai,2,5,0,0,1400,0,1400,festival,78.42786099
BK00164,12-05-2025,16-05-2025,2,4,upper,Ahmedabad,Surat,0,4,0,0,1400,0,1400,normal,88.21928481
BK00165,28-09-2024,22-10-2024,1,24,lower,Ahmedabad,Mumbai,0,18,0,0,800,0,800,normal,98
BK00166,24-10-2024,25-10-2024,3,1,lower,Surat,Mumbai,6,2,0,0,2400,0,2400,normal,87.32957869
BK00167,21-11-2025,26-11-2025,2,5,upper,Vadodara,Mumbai,3,1,0,0,1400,0,1400,normal,84.08995676
BK00168,09-02-2024,13-02-2024,1,4,mixed,Vadodara,Surat,5,1,1,1,750,200,950,normal,97.41714489
BK00169,05-04-2024,11-04-2024,1,6,upper,Vadodara,Surat,4,1,1,1,700,100,800,festival,95.24151538
BK00170,30-09-2024,06-10-2024,2,6,mixed,Ahmedabad,Vadodara,5,13,0,0,1500,0,1500,holiday,76.75439694
BK00171,28-11-2025,05-12-2025,3,7,mixed,Vadodara,Vadodara,3,1,0,0,2250,0,2250,holiday,87.46648628
BK00172,12-08-2025,13-08-2025,1,1,lower,Surat,Mumbai,2,5,1,1,800,200,1000,festival,85.36429553
BK00173,22-09-2024,29-09-2024,2,7,lower,Ahmedabad,Vadodara,0,20,1,2,1600,200,1800,normal,98
BK00174,28-03-2025,30-03-2025,1,2,lower,Ahmedabad,Mumbai,4,22,0,0,800,0,800,normal,89.23209383
BK00175,02-10-2025,04-10-2025,2,2,lower,Ahmedabad,Mumbai,2,20,1,2,1600,200,1800,holiday,92.37636463
BK00176,12-11-2024,12-11-2024,1,0,lower,Ahmedabad,Mumbai,0,22,0,0,800,0,800,normal,93.92981181
BK00177,16-10-2025,30-10-2025,3,14,mixed,Ahmedabad,Surat,0,16,1,1,2250,100,2350,normal,97.89872186
BK00178,19-07-2025,24-07-2025,2,5,lower,Nadiad,Mumbai,1,22,0,0,1600,0,1600,normal,82.07086613
BK00179,11-12-2024,20-12-2024,4,9,lower,Ahmedabad,Surat,4,11,0,0,3200,0,3200,normal,83.12264947
BK00180,27-10-2025,09-11-2025,1,13,lower,Ahmedabad,Surat,3,17,1,1,800,100,900,holiday,97.93306564
BK00181,30-09-2025,11-10-2025,2,11,mixed,Ahmedabad,Mumbai,1,22,1,2,1500,300,1800,normal,91.07227062
BK00182,07-08-2024,13-08-2024,1,6,upper,Vadodara,Mumbai,0,16,1,1,700,200,900,festival,86.68819135
BK00183,20-04-2024,24-04-2024,4,4,mixed,Ahmedabad,Nadiad,4,22,1,1,3000,100,3100,normal,87.06927068
BK00184,19-06-2024,23-06-2024,4,4,mixed,Ahmedabad,Mumbai,6,8,1,3,3000,600,3600,normal,83.91020118
BK00185,01-03-2024,11-03-2024,1,10,upper,Nadiad,Surat,6,8,1,1,700,200,900,normal,98
BK00186,17-03-2024,23-03-2024,3,6,lower,Ahmedabad,Mumbai,4,10,0,0,2400,0,2400,normal,88.61976873
BK00187,11-06-2025,29-06-2025,3,18,lower,Ahmedabad,Mumbai,1,11,0,0,2400,0,2400,normal,92.1523954
BK00188,22-09-2024,12-10-2024,2,20,lower,Ahmedabad,Mumbai,2,21,1,2,1600,400,2000,normal,97.0539033
BK00189,06-11-2024,07-11-2024,2,1,upper,Vadodara,Surat,2,21,1,2,1400,300,1700,normal,87.99652949
BK00190,12-02-2024,13-02-2024,1,1,lower,Nadiad,Mumbai,6,15,1,1,800,100,900,normal,95.63074863
BK00191,16-03-2025,25-03-2025,1,9,lower,Ahmedabad,Mumbai,3,5,1,1,800,200,1000,normal,92.82789326
BK00192,01-10-2025,04-10-2025,4,3,upper,Ahmedabad,Surat,4,7,1,4,2800,400,3200,holiday,83.16789246
BK00193,26-12-2025,26-12-2025,4,0,upper,Nadiad,Mumbai,5,14,0,0,2800,0,2800,normal,83.19706351
BK00194,25-07-2025,15-08-2025,2,21,upper,Vadodara,Mumbai,1,11,1,2,1400,400,1800,normal,94.63454652
BK00195,11-04-2024,13-04-2024,2,2,lower,Nadiad,Mumbai,0,8,1,2,1600,400,2000,normal,87.5515518
BK00196,15-01-2025,10-02-2025,2,26,mixed,Vadodara,Mumbai,2,3,0,0,1500,0,1500,normal,96.45330847
BK00197,29-10-2025,10-11-2025,3,12,upper,Ahmedabad,Vadodara,1,17,1,3,2100,300,2400,normal,88.3845347
BK00198,18-09-2024,02-10-2024,4,14,lower,Nadiad,Mumbai,3,19,1,2,3200,300,3500,normal,94.49283532
BK00199,26-08-2025,28-08-2025,4,2,upper,Vadodara,Mumbai,3,8,1,4,2800,600,3400,festival,70.95752901
BK00200,19-06-2025,21-06-2025,3,2,mixed,Vadodara,Vadodara,5,11,0,0,2250,0,2250,normal,84.14572125
BK00201,10-07-2025,17-07-2025,2,7,lower,Surat,Mumbai,4,16,0,0,1600,0,1600,normal,92.54288627
BK00202,20-08-2024,21-08-2024,1,1,lower,Ahmedabad,Mumbai,3,11,1,1,800,150,950,normal,94.27044872
BK00203,08-08-2024,11-08-2024,1,3,upper,Surat,Mumbai,3,22,1,1,700,150,850,normal,93.0658475
BK00204,04-08-2025,07-08-2025,4,3,lower,Nadiad,Mumbai,5,2,1,2,3200,300,3500,holiday,82.94631532
BK00205,13-09-2024,14-09-2024,2,1,mixed,Vadodara,Mumbai,5,20,1,2,1500,400,1900,normal,91.56963052
BK00206,30-10-2025,01-11-2025,1,2,lower,Ahmedabad,Vadodara,2,8,0,0,800,0,800,normal,89.56693227
BK00207,05-01-2024,20-01-2024,1,15,upper,Nadiad,Vadodara,2,16,0,0,700,0,700,normal,94.54310483
BK00208,17-09-2025,18-09-2025,3,1,upper,Vadodara,Mumbai,3,8,0,0,2100,0,2100,normal,91.01649788
BK00209,19-07-2025,19-07-2025,1,0,upper,Ahmedabad,Mumbai,6,22,1,1,700,200,900,normal,97.55064761
BK00210,23-05-2025,01-06-2025,1,9,lower,Nadiad,Mumbai,5,1,1,1,800,200,1000,normal,98
BK00211,06-09-2024,06-10-2024,2,30,lower,Vadodara,Mumbai,6,11,1,1,1600,200,1800,festival,96.39541393
BK00212,26-01-2025,30-01-2025,3,4,lower,Ahmedabad,Mumbai,4,21,1,2,2400,200,2600,festival,77.05396559
BK00213,11-03-2024,12-03-2024,3,1,lower,Ahmedabad,Mumbai,2,11,0,0,2400,0,2400,normal,81.09534616
BK00214,04-08-2025,12-08-2025,1,8,lower,Ahmedabad,Surat,2,20,1,1,800,100,900,normal,96.90926442
BK00215,23-03-2025,15-04-2025,3,23,mixed,Ahmedabad,Mumbai,5,21,1,2,2250,200,2450,normal,87.80566227
BK00216,27-10-2025,11-11-2025,1,15,lower,Ahmedabad,Mumbai,6,1,0,0,800,0,800,normal,98
BK00217,28-10-2025,06-11-2025,2,9,upper,Ahmedabad,Mumbai,3,11,0,0,1400,0,1400,holiday,83.96357431
BK00218,10-05-2025,13-05-2025,3,3,lower,Ahmedabad,Surat,4,16,0,0,2400,0,2400,normal,85.89685585
BK00219,01-11-2025,08-11-2025,2,7,upper,Ahmedabad,Mumbai,6,20,1,2,1400,200,1600,festival,93.29305126
